epoch,acc,loss
0,0.202,0.5119095826148987
1,0.3675,0.3398988916873932
2,0.438,0.3012292984724045
3,0.4365,0.27154658192396164
4,0.4345,0.2529208903312683
5,0.4335,0.23688236480951308
6,0.4325,0.22556195509433746
7,0.432,0.21536020016670226
8,0.431,0.20591435670852662
9,0.433,0.1977617324590683
10,0.4315,0.19049740949273108
11,0.436,0.1824395341873169
12,0.437,0.17448041003942488
13,0.438,0.16879403674602508
14,0.436,0.16220138210058213
15,0.441,0.15541487315297126
16,0.44,0.148865265250206
17,0.4415,0.14408647152781487
18,0.443,0.13896412509679795
19,0.4435,0.13244918581843376
20,0.448,0.12707923614978792
21,0.447,0.1216345261335373
22,0.451,0.11708802118897438
23,0.4485,0.11215321356058121
24,0.4495,0.10885535740852356
25,0.4525,0.10350539094209671
26,0.455,0.10102799296379089
27,0.4535,0.09678090807795525
28,0.4555,0.09326228207349777
29,0.457,0.0896543735563755
30,0.453,0.0867875420153141
31,0.458,0.08195421589910984
32,0.46,0.07912760737538338
33,0.464,0.07710015568137168
34,0.4615,0.07335788484662771
35,0.4625,0.07131563358008862
36,0.462,0.0695687035024166
37,0.464,0.06666611054539681
38,0.4655,0.06422634574770927
39,0.467,0.0621400034725666
40,0.467,0.059899831682443616
41,0.4665,0.058155345931649206
42,0.468,0.05594940288364887
43,0.4705,0.0548524517416954
44,0.4695,0.052344633013010025
45,0.4695,0.051105082601308825
46,0.472,0.049511057764291766
47,0.4715,0.04817398527264595
48,0.472,0.047684977158904074
49,0.475,0.04425840488821268
