epoch,acc,loss
0,0.0,1.1322570085525512
1,0.0,0.9704638872146606
2,0.0,0.8142995986938476
3,0.0,0.726274905204773
4,0.0,0.6628963294029235
5,0.0,0.61454341173172
6,0.004,0.5728623938560485
7,0.046,0.5364947590827942
8,0.09,0.5037231349945068
9,0.113,0.4705157713890076
10,0.148,0.4489570417404175
11,0.167,0.41503949856758116
12,0.218,0.37879563760757445
13,0.219,0.35490097212791444
14,0.255,0.32682961893081663
15,0.282,0.30116666412353515
16,0.302,0.2812950041294098
17,0.32,0.26694297504425046
18,0.334,0.2530928385257721
19,0.337,0.2435977442264557
20,0.37,0.23126470232009888
21,0.378,0.21933187437057494
22,0.402,0.21485446047782897
23,0.385,0.20571192288398743
24,0.404,0.19196633219718934
25,0.396,0.18343722653388977
26,0.411,0.1761500687599182
27,0.414,0.1682971408367157
28,0.412,0.16212930902838707
29,0.424,0.1548273386359215
30,0.415,0.14939928007125855
31,0.422,0.14358223354816438
32,0.419,0.13933621752262115
33,0.421,0.13582401633262634
34,0.437,0.13007784938812256
35,0.436,0.1269642677307129
36,0.434,0.12122930973768234
37,0.435,0.11981867837905884
38,0.436,0.11400794422626495
39,0.442,0.11061654365062713
40,0.444,0.10774032068252563
41,0.442,0.10467729628086091
42,0.446,0.10086105489730834
43,0.45,0.0983840724825859
44,0.449,0.09644832468032837
45,0.461,0.0935703361928463
46,0.442,0.09390965937078
47,0.456,0.08885922247171402
48,0.453,0.08732569268345833
49,0.454,0.08480054259300232
